pre_01,evap_04,snow_depth_10,rel_hum_09,soil_water_03,point_x,point_y,vegetation_real,vegetation_predicted,prognosis_res
0.0015414616279069,-0.0004586674418604,0.0454198802325581,69.94204729999998,0.3110140709302325,85.76799317299998,49.6200790772,1.0,1,TP
0.0008399976744186,-0.000909226744186,0.0125443988372093,72.30859889069767,0.3243122813953488,86.0368570657,51.4466191405,1.0,0,FN
0.0008399976744186,-0.000909226744186,0.0125443988372093,72.30859889069767,0.3243122813953488,85.98800870249998,51.330304628,1.0,0,FN
0.0009588546511627,-0.0008439093023255,0.0140914023255813,71.9149987872093,0.3266300174418604,86.4311644002,51.3236953978,1.0,1,TP
0.0009864790697674,-0.0005943116279069,0.0343527127906976,69.54540394534887,0.3163340627906976,87.041280971,51.0160362413,1.0,1,TP
0.0010776348837209,-0.0006526116279069,0.0332705662790697,70.78652403953491,0.3163290941860466,87.3721669761,51.4119118965,1.0,0,FN
0.0010840639534883,-0.0006230337209302,0.0335532837209302,69.66829184302325,0.3176853534883721,87.8481780602,51.3395346226,1.0,1,TP
0.0010840639534883,-0.0006230337209302,0.0335532837209302,69.66829184302325,0.3176853534883721,88.0091062415,51.3395191137,1.0,1,TP
0.0010840639534883,-0.0006230337209302,0.0335532837209302,69.66829184302325,0.3176853534883721,87.7814653692,51.2681291151,1.0,1,TP
0.0008569546511627,-0.0006799918604651,0.0213999406976744,67.76002058837213,0.3188652441860464,87.516763112,51.1279540595,1.0,0,FN
0.0009601279069767,-0.001332403488372,0.0046263616279069,69.63125060465114,0.3393381081395349,83.75545600239998,51.6749849504,1.0,1,TP
0.0009601279069767,-0.001332403488372,0.0046263616279069,69.63125060465114,0.3393381081395349,83.77648597229998,51.6597392952,1.0,1,TP
0.0009601279069767,-0.001332403488372,0.0046263616279069,69.63125060465114,0.3393381081395349,84.010618678,51.5199629395,1.0,1,TP
0.0009785116279069,-0.0011684744186046,0.0074472872093023,72.29458636511626,0.3420901918604651,85.85253049969998,51.5963554553,1.0,1,TP
0.0011883872093023,-0.0009206860465116,0.0060709837209302,72.00963450813951,0.3396083290697674,86.66115725039998,52.0651526094,1.0,1,TP
0.0012262290697674,-0.0008846418604651,0.0063702127906976,72.64274224534883,0.3393221430232559,86.9971250154,52.0420697386,1.0,1,TP
0.0012262290697674,-0.0008846418604651,0.0063702127906976,72.64274224534883,0.3393221430232559,86.8992477515,51.9755732762,1.0,1,TP
